scenario_id,authority_code,metric,event_type,detail
S0,E08000001,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000002,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000003,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000004,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S2,E08000004,shares,share_clamped,Clamped ['ILP'] to zero
S0,E08000005,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000006,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000007,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000008,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000009,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000010,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000011,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000013,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000014,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000016,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000019,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000021,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000022,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000023,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000024,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000025,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000026,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000027,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000028,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000029,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000030,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000031,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000032,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000033,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000034,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
S0,E08000035,swing_concentration,metric_lower_bound_clamped,Applied swing_concentration lower bound 1.0
