authority_code,authority_name,tier,tier_label,region,election_year,fi_value,n_parties,turnout_pct,is_whole_council,n_wards_observed
E08000001,Bolton,1,Metropolitan Borough,North West,2014,3.501625088949286,9,36.28502681838689,False,20
E08000001,Bolton,1,Metropolitan Borough,North West,2015,3.5446001241938854,6,59.77181194572499,False,20
E08000001,Bolton,1,Metropolitan Borough,North West,2016,3.57559753781593,6,38.45274091713798,False,20
E08000001,Bolton,1,Metropolitan Borough,North West,2018,3.497254775421092,7,35.63033623634653,False,20
E08000001,Bolton,1,Metropolitan Borough,North West,2022,3.2074564492739386,13,34.01975724904916,True,30
E08000002,Bury,1,Metropolitan Borough,North West,2014,3.316259514824181,6,36.00957668572372,False,17
E08000002,Bury,1,Metropolitan Borough,North West,2015,3.2667857389802553,7,65.1288125140166,False,17
E08000002,Bury,1,Metropolitan Borough,North West,2016,3.045433778703075,6,38.577904511223224,False,17
E08000002,Bury,1,Metropolitan Borough,North West,2018,2.5777863758107165,7,37.26278783617507,False,17
E08000002,Bury,1,Metropolitan Borough,North West,2022,2.2927536170748604,10,24.821335523454984,True,29
E08000003,Manchester,1,Metropolitan Borough,North West,2014,2.660510876281754,13,29.41393431864122,False,32
E08000003,Manchester,1,Metropolitan Borough,North West,2015,2.607040056953044,11,54.045049081503805,False,32
E08000003,Manchester,1,Metropolitan Borough,North West,2016,2.2700465024485874,10,28.94926801573462,False,32
E08000003,Manchester,1,Metropolitan Borough,North West,2018,1.9176515222046564,9,10.31304711070869,False,32
E08000003,Manchester,1,Metropolitan Borough,North West,2022,1.7038940392021167,9,27.107192326639428,True,50
E08000004,Oldham,1,Metropolitan Borough,North West,2014,3.385785153521083,7,34.35243153976979,False,20
E08000004,Oldham,1,Metropolitan Borough,North West,2015,3.4562009796351596,8,61.57332101242429,False,20
E08000004,Oldham,1,Metropolitan Borough,North West,2016,3.2890777030841316,6,36.067911583897015,False,20
E08000004,Oldham,1,Metropolitan Borough,North West,2018,2.5655106023680108,7,29.876801211340045,False,20
E08000004,Oldham,1,Metropolitan Borough,North West,2022,3.2182402957136653,11,32.66067810114904,True,32
E08000005,Rochdale,1,Metropolitan Borough,North West,2014,3.40351770903515,7,33.26702419555999,False,20
E08000005,Rochdale,1,Metropolitan Borough,North West,2015,3.414614513120247,9,58.96288447754682,False,20
E08000005,Rochdale,1,Metropolitan Borough,North West,2016,2.9365316251074565,7,36.760928844490515,False,20
E08000005,Rochdale,1,Metropolitan Borough,North West,2018,2.7512242393270276,6,31.2062623084831,False,20
E08000005,Rochdale,1,Metropolitan Borough,North West,2022,3.3296367776015123,8,24.97509743300537,True,38
E08000006,Salford,1,Metropolitan Borough,North West,2014,3.156002488158792,11,29.645779041973963,False,20
E08000006,Salford,1,Metropolitan Borough,North West,2015,3.0299788801545784,8,57.251693509262644,False,20
E08000006,Salford,1,Metropolitan Borough,North West,2016,2.9556798627479366,9,28.58601626779657,False,20
E08000006,Salford,1,Metropolitan Borough,North West,2018,2.6848140138920895,10,26.123468388220267,False,20
E08000006,Salford,1,Metropolitan Borough,North West,2022,3.2557208476889596,7,30.16858631648969,True,28
E08000007,Stockport,1,Metropolitan Borough,North West,2014,4.3939641799895135,7,36.31802565106813,False,21
E08000007,Stockport,1,Metropolitan Borough,North West,2015,4.304636949976074,8,66.32103127992025,False,21
E08000007,Stockport,1,Metropolitan Borough,North West,2016,4.1136829228285885,8,39.01182473872725,False,21
E08000007,Stockport,1,Metropolitan Borough,North West,2018,3.4804538344249525,8,35.0548386774847,False,21
E08000007,Stockport,1,Metropolitan Borough,North West,2022,3.242331678018689,9,39.14717536275594,True,32
E08000008,Tameside,1,Metropolitan Borough,North West,2014,3.1401590254732707,8,32.142857142857146,False,19
E08000008,Tameside,1,Metropolitan Borough,North West,2015,3.0220654589147338,8,57.09895513214505,False,19
E08000008,Tameside,1,Metropolitan Borough,North West,2016,2.95725696533458,8,31.50433492150277,False,19
E08000008,Tameside,1,Metropolitan Borough,North West,2018,2.518639273697685,10,28.26816423544764,False,19
E08000008,Tameside,1,Metropolitan Borough,North West,2022,3.092558652683102,7,30.474717547779722,True,26
E08000009,Trafford,1,Metropolitan Borough,North West,2014,3.1784318096959234,6,38.68266447529804,False,21
E08000009,Trafford,1,Metropolitan Borough,North West,2015,2.7489957133825973,5,70.26136518180581,False,21
E08000009,Trafford,1,Metropolitan Borough,North West,2016,3.0363300175167542,6,41.09030979760384,False,21
E08000009,Trafford,1,Metropolitan Borough,North West,2018,2.801972669699667,7,42.086796101531036,False,21
E08000009,Trafford,1,Metropolitan Borough,North West,2022,2.4542483537835262,6,37.41952124566324,True,32
E08000010,Wigan,1,Metropolitan Borough,North West,2014,3.134261678244094,13,28.714570371274043,False,25
E08000010,Wigan,1,Metropolitan Borough,North West,2015,2.9672406076024576,11,60.296164123929614,False,25
E08000010,Wigan,1,Metropolitan Borough,North West,2016,3.2010515490721034,9,30.974046835519975,False,25
E08000010,Wigan,1,Metropolitan Borough,North West,2018,2.888500368451013,9,26.34898953048377,False,25
E08000010,Wigan,1,Metropolitan Borough,North West,2022,2.802209246622612,12,28.563719215622083,True,35
E08000011,Knowsley,1,Metropolitan Borough,North West,2014,2.0852506364334498,9,26.13613196592712,True,21
E08000011,Knowsley,1,Metropolitan Borough,North West,2015,1.701186333784887,9,56.46662705486235,True,21
E08000011,Knowsley,1,Metropolitan Borough,North West,2016,1.76437520942077,8,12.431523306102836,False,15
E08000011,Knowsley,1,Metropolitan Borough,North West,2018,2.2296235670622284,7,24.17637242589502,False,15
E08000011,Knowsley,1,Metropolitan Borough,North West,2022,1.8545438324056125,7,26.84110575706987,True,20
E08000012,Liverpool,1,Metropolitan Borough,North West,2014,2.685586253272025,11,30.374778931180316,True,30
E08000012,Liverpool,1,Metropolitan Borough,North West,2015,2.192830814627697,10,65.98501823653523,True,30
E08000012,Liverpool,1,Metropolitan Borough,North West,2016,2.5785653880061665,10,30.682272135668356,True,30
E08000012,Liverpool,1,Metropolitan Borough,North West,2018,2.2209336461329223,8,28.90609742109685,True,30
E08000012,Liverpool,1,Metropolitan Borough,North West,2022,2.685851456487014,7,17.242618434449305,False,3
E08000013,St. Helens,1,Metropolitan Borough,North West,2014,2.983272128874021,7,30.903047823088325,False,16
E08000013,St. Helens,1,Metropolitan Borough,North West,2015,2.683440231393401,7,60.14280009465775,False,16
E08000013,St. Helens,1,Metropolitan Borough,North West,2016,2.609660571302492,6,28.874138468202162,False,16
E08000013,St. Helens,1,Metropolitan Borough,North West,2018,3.190968025543846,7,27.750034427524625,False,16
E08000013,St. Helens,1,Metropolitan Borough,North West,2022,2.9612399358642723,9,25.655723420468473,True,30
E08000014,Sefton,1,Metropolitan Borough,North West,2014,4.208812136164205,10,34.257440893672374,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2015,3.551002536244839,9,66.22370857344956,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2016,3.5882574848177184,8,31.40615601872434,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2018,2.8818052345294936,8,30.823658183808295,False,22
E08000014,Sefton,1,Metropolitan Borough,North West,2022,2.6164094122420365,9,33.85679525064558,True,30
E08000015,Wirral,1,Metropolitan Borough,North West,2014,3.7161242787620834,7,34.40183730307187,False,22
E08000015,Wirral,1,Metropolitan Borough,North West,2015,3.0556120989840223,7,70.49208907182128,False,22
