authority_code,authority_name,tier,tier_label,region,party_standardised,metric_party_family,challenger_party_family,party_group,vote_share_2018,vote_share_2022,swing_pp,challenger_party,is_challenger,swing_abs_rank,party_label_norm,party_colour_hex
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,Barnsley Independent Group,Barnsley Independent Group,ILP,ILP,3.1575061347694846,3.2970035839280274,0.139497,LAB,False,12.0,IND,#6B7280
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,British National Party,British National Party,British National Party,Minor,0.0542899954396403,0.0,-0.05429,LAB,False,14.0,OTHER,#9CA3AF
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,CON,CON,CON,,19.0970487958479,12.564768200784048,-6.532281,LAB,False,2.0,CON,#0087DC
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,English Democrats,English Democrats,English Democrats,Minor,0.5103259571326196,0.2406802106214594,-0.269646,LAB,False,11.0,OTHER,#9CA3AF
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,Freedom Alliance,Freedom Alliance,Freedom Alliance,Minor,0.0,0.4740033842370227,0.474003,LAB,False,10.0,OTHER,#9CA3AF
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,GREEN,GREEN,GREEN,,3.680861690807618,9.282478690867816,5.601617,LAB,False,4.0,GREEN,#02A95B
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,IND,IND,IND,Independent,1.8610610436708728,1.904421579240544,0.043361,LAB,False,15.0,IND,#6B7280
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,Independents For Direct Democracy,Independents For Direct Democracy,Independents For Direct Democracy,Minor,2.4083041977024475,0.0,-2.408304,LAB,False,5.0,IND,#6B7280
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,LAB,LAB,LAB,,57.97954352971835,66.51181855444733,8.532275,LAB,True,1.0,LAB,#E4003B
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,LD,LD,LD,,9.511607201024995,3.2602183988985463,-6.251389,LAB,False,3.0,LD,#FAA61A
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,Northern Independence Party,Northern Independence Party,Northern Independence Party,Minor,0.0,0.0683153436261784,0.068315,LAB,False,13.0,OTHER,#9CA3AF
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,Social Democratic Party,Social Democratic Party,Social Democratic Party,Minor,0.0,0.5128905798396166,0.512891,LAB,False,9.0,OTHER,#9CA3AF
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,Trade Unionist And Socialist Coalition,Trade Unionist And Socialist Coalition,Trade Unionist And Socialist Coalition,Minor,0.0,1.237033222277108,1.237033,LAB,False,7.0,OTHER,#9CA3AF
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,UNKNOWN,UNKNOWN,UNKNOWN,Unknown,0.0,0.6463682512323038,0.646368,LAB,False,8.0,OTHER,#9CA3AF
E08000016,Barnsley,1,Metropolitan Borough,Yorkshire and The Humber,YORKS,YORKS,YORKS,,1.739451453886078,0.0,-1.739451,LAB,False,6.0,YORKS,#228B22
