tier_label,window,vol_bin_midpoint,count,pct_of_tier
London Borough,2014→2018,5.5,4,12.5
London Borough,2014→2018,6.5,2,6.25
London Borough,2014→2018,7.5,1,3.125
London Borough,2014→2018,8.5,4,12.5
London Borough,2014→2018,9.5,5,15.625
London Borough,2014→2018,10.5,2,6.25
London Borough,2014→2018,11.5,3,9.375
London Borough,2014→2018,12.5,2,6.25
London Borough,2014→2018,13.5,3,9.375
London Borough,2014→2018,14.5,1,3.125
London Borough,2014→2018,15.5,1,3.125
London Borough,2014→2018,18.5,1,3.125
London Borough,2014→2018,19.5,1,3.125
London Borough,2014→2018,23.5,1,3.125
London Borough,2014→2018,41.5,1,3.125
London Borough,2018→2022,29.5,1,3.125
London Borough,2018→2022,31.5,2,6.25
London Borough,2018→2022,33.5,2,6.25
London Borough,2018→2022,34.5,3,9.375
London Borough,2018→2022,37.5,3,9.375
London Borough,2018→2022,38.5,1,3.125
London Borough,2018→2022,39.5,1,3.125
London Borough,2018→2022,40.5,3,9.375
London Borough,2018→2022,41.5,2,6.25
London Borough,2018→2022,43.5,1,3.125
London Borough,2018→2022,44.5,1,3.125
London Borough,2018→2022,45.5,1,3.125
London Borough,2018→2022,48.5,1,3.125
London Borough,2018→2022,49.5,2,6.25
London Borough,2018→2022,50.5,2,6.25
London Borough,2018→2022,51.5,1,3.125
London Borough,2018→2022,53.5,2,6.25
London Borough,2018→2022,55.5,1,3.125
London Borough,2018→2022,60.5,1,3.125
London Borough,2018→2022,62.5,1,3.125
Metropolitan Borough,2014→2018,6.5,3,10.0
Metropolitan Borough,2014→2018,8.5,2,6.666666666666667
Metropolitan Borough,2014→2018,9.5,4,13.333333333333334
Metropolitan Borough,2014→2018,10.5,1,3.3333333333333335
Metropolitan Borough,2014→2018,11.5,2,6.666666666666667
Metropolitan Borough,2014→2018,12.5,4,13.333333333333334
Metropolitan Borough,2014→2018,13.5,1,3.3333333333333335
Metropolitan Borough,2014→2018,14.5,1,3.3333333333333335
Metropolitan Borough,2014→2018,15.5,1,3.3333333333333335
Metropolitan Borough,2014→2018,16.5,1,3.3333333333333335
Metropolitan Borough,2014→2018,17.5,1,3.3333333333333335
Metropolitan Borough,2014→2018,18.5,4,13.333333333333334
Metropolitan Borough,2014→2018,19.5,3,10.0
Metropolitan Borough,2014→2018,20.5,1,3.3333333333333335
Metropolitan Borough,2014→2018,40.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,15.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,23.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,26.5,2,6.666666666666667
Metropolitan Borough,2018→2022,28.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,30.5,2,6.666666666666667
Metropolitan Borough,2018→2022,32.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,33.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,35.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,37.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,38.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,39.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,40.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,42.5,2,6.666666666666667
Metropolitan Borough,2018→2022,43.5,4,13.333333333333334
Metropolitan Borough,2018→2022,44.5,2,6.666666666666667
Metropolitan Borough,2018→2022,45.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,48.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,49.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,50.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,51.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,52.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,60.5,1,3.3333333333333335
Metropolitan Borough,2018→2022,70.5,1,3.3333333333333335
West Yorkshire,2014→2018,11.5,1,20.0
West Yorkshire,2014→2018,13.5,2,40.0
West Yorkshire,2014→2018,15.5,1,20.0
West Yorkshire,2014→2018,18.5,1,20.0
West Yorkshire,2018→2022,37.5,1,20.0
West Yorkshire,2018→2022,38.5,1,20.0
West Yorkshire,2018→2022,43.5,2,40.0
West Yorkshire,2018→2022,53.5,1,20.0
